,,,,,,,,,,,
0,1,Brand,Model,Tri/Road,Size,Stack,Reach,Trail,Front Center,Head Tube,Wheelsize
1,,,,,,,,,,,
2,2,Argon 18,Old Gallium,Tri,XS,492,385,0,0,0,700c
3,3,Argon 18,E-117,Tri,S,500,395,0,0,0,700c
4,4,Argon 18,E-117,Tri,M,515,405,0,0,0,700c
5,5,Argon 18,E-117,Tri,L,542,410,0,0,0,700c
6,6,Argon 18,E-119,Tri,XS,560,415,0,0,0,700c
7,7,Argon 18,E-119,Tri,M,585,435,0,0,0,700c
8,8,Argon 18,E-119,Tri,L,610,440,0,0,0,700c
9,9,Argon 18,E-117,Tri,XS,490,385,0,0,0,700c
10,10,Argon 18,E-117,Tri,XL,568,422,0,0,0,700c
11,11,Argon 18,E-119,Tri,S,570,425,0,0,0,700c
12,12,Argon 18,E-119,Tri,XL,635,450,0,0,0,700c
13,13,Argon 18,2019 Krypton,Tri,XL,624,407,0,0,196,700c
14,14,Argon 18,E-118 Next,Tri,XS,548,446,0,0,57,700c
15,15,Argon 18,E-118 Next,Tri,S,557,458,0,0,67,700c
16,16,Argon 18,E-118 Next,Tri,M,575,466,0,0,86,700c
17,17,Argon 18,E-118 Next,Tri,L,598,473,0,0,110,700c
18,18,Argon 18,Old Gallium,Road,s,519,389,60,0,109,700c
19,19,Argon 18,Old Gallium,Road,m,547,394,60,0,139,700c
20,20,Argon 18,Old Gallium,Road,l,569,401,60,0,162,700c
21,21,Argon 18,Old Gallium,Road,xl,594,408,58,0,189,700c
22,22,Argon 18,Old Krypton,Road,xxs,489,373,71,0,90,700c
23,23,Argon 18,Old Krypton,Road,xs,501,380,64,0,100,700c
24,24,Argon 18,Old Krypton,Road,s,526,387,60,0,123,700c
25,25,Argon 18,Old Krypton,Road,m,548,393,60,0,147,700c
26,26,Argon 18,Old Krypton,Road,l,573,400,60,0,173,700c
27,27,Argon 18,Old Krypton,Road,xl,595,408,58,0,195,700c
28,28,Argon 18,Radon,Road,xxs,496,370,71,0,98,700c
29,29,Argon 18,Radon,Road,xs,508,379,64,0,108,700c
30,30,Argon 18,Radon,Road,s,530,387,60,0,128,700c
31,31,Argon 18,Radon,Road,m,556,390,60,0,156,700c
32,32,Argon 18,Radon,Road,l,581,397,60,0,182,700c
33,33,Argon 18,Radon,Road,xl,609,403,58,0,210,700c
34,34,Argon 18,2019 Gallium,Road,XXS,474,374,0,0,75,700c
35,35,Argon 18,2019 Gallium,Road,XS,492,382,0,0,85,700c
36,36,Argon 18,2019 Gallium,Road,S,523,389,0,0,110,700c
37,37,Argon 18,2019 Gallium,Road,M,552,395,0,0,140,700c
38,38,Argon 18,2019 Gallium,Road,L,575,401,0,0,165,700c
39,39,Argon 18,2019 Gallium,Road,XL,596,408,0,0,185,700c
40,40,Argon 18,Nitrogen,Road,XS,469,383,0,0,81,700c
41,41,Argon 18,Nitrogen,Road,S,516,390,0,0,109,700c
42,42,Argon 18,Nitrogen,Road,M,546,394,0,0,141,700c
43,43,Argon 18,Nitrogen,Road,L,566,402,0,0,162,700c
44,44,Argon 18,Nitrogen,Road,XL,592,409,0,0,188,700c
45,45,Argon 18,2019 Krypton,Road,XXS,519,359,0,0,91,700c
46,46,Argon 18,2019 Krypton,Road,XS,539,369,0,0,108,700c
47,47,Argon 18,2019 Krypton,Road,S,559,379,0,0,127,700c
48,48,Argon 18,2019 Krypton,Road,M,580,388,0,0,149,700c
49,49,Argon 18,2019 Krypton,Road,L,601,397,0,0,174,700c
50,50,BH Bikes,Ultralight,Road,xxs,515,370,0,0,108,700c
51,51,BH Bikes,Ultralight,Road,s,523,383,0,0,120,700c
52,52,BH Bikes,Ultralight,Road,m,549,384,0,0,150,700c
53,53,BH Bikes,Ultralight,Road,l,583,386,0,0,185,700c
54,54,BH Bikes,Ultralight,Road,xl,594,396,0,0,196,700c
55,55,BH Bikes,Ultralight,Road,XS,517,382,0,0,115,700c
56,56,BH Bikes,G7,Road,SM,523,383,0,0,120,700c
57,57,BH Bikes,G7,Road,M,549,384,0,0,150,700c
58,58,BH Bikes,G7,Road,L,583,386,0,0,185,700c
